date,week,team,game_location,opp,result,team_pts,opp_pts,cmp,att,pass_yds,pass_td,int,rating,sacked,rush_att,rush_yds,rush_td
2023-09-11,1,NYJ,,BUF,W,22,16,14,21,140,1,1,81.4,2,4,6,0
2023-09-17,2,NYJ,@,DAL,L,10,30,12,27,170,1,3,38.1,3,5,36,0
2023-09-24,3,NYJ,,NWE,L,10,15,18,36,157,0,0,61.9,3,1,1,0
2023-10-01,4,NYJ,,KAN,L,20,23,28,39,245,2,0,105.2,2,2,14,0
2023-10-08,5,NYJ,@,DEN,W,31,21,19,26,199,0,1,78.8,4,3,26,0
